Title,Period,Country,Classification
"Calla Lily (Richardia Nethiopica), from the Flowers series for Old Judge Cigarettes",Date Unknown,Null,Prints
"Poppy (Papaver Rhoeas), from the Flowers series for Old Judge Cigarettes",Date Unknown,Null,Prints
"Daisy (Chrysanthemum leucanthemum), from the Flowers series for Old Judge Cigarettes",Date Unknown,Null,Prints
"Illustrated Catalogue and Wholesale Price-List of Fancy Earthen Ware, Hand and Machine Made Flower Pots, Both ""Standard"" and Regular",Date Unknown,Null,Books
"Vignette with a Flower Garland, a Maltese Cross, and a Shield with a Crown and Fleur-de-Lis, from Les Métamorphoses d'Ovide en Latin et en François de la traduction de M. l'Abbé Banier de l'Académie Royale des Inscriptions et Belles-Lettres. Avec des explications historiques. A Paris Chez Despilly rue saint Jacques à la croix d'or. MDCCLXVII. Avec Approbation et Privilège du Roi",Date Unknown,Null,Prints
"Tulip: A Declaration of Love, from the series Floral Beauties and Language of Flowers (N75) for Duke brand cigarettes",Date Unknown,Null,Prints
Actress holding flower from Actresses (N335a) issued by S. F. Hess & Company to promote Long Cut Tobacco brands,Date Unknown,Null,Photographs
"Flowering Peach Trees, Provence",Date Unknown,Null,Paintings
"Radha and Krishna Walk in a Flowering Grove
 (recto); Krishna Fluting (verso)",Date Unknown,Null,Paintings
"John Yellow Flower, No. 40, collector card from the American Indian Series (D6), issued by the Kelley Baking Company to promote Kelley's Bread",Date Unknown,Null,Prints
Fragment of a Cover or Blanket with Ornamental Square Featuring Flowers and Animals,Date Unknown,Egypt,Textiles
The Lady's Flowers,Date Unknown,Null,Paintings
Design for a Valance with a Grotesque Motif and Thin Garlands of Flowers and Leaves with a Scrolling Frame,Date Unknown,Null,Drawings
The Queen of Flowers,Date Unknown,Germany,Prints
Design for a Fireplace (?) with Bundles and Garlands of Flowers Decorated with Musical Instruments,Date Unknown,Null,Drawings
Case (Inrō) with Design of Two Persons with Wide Hats Pulling a Boat (obverse); Boat with Flowering Plants (reverse),17th - 20th Century,Japan,Inrō
Case (Inrō) with Design of God of Longevity (Jurōjin) beside Flowering Plum Tree (obverse); Karako Walking on Bridge (reverse),17th - 20th Century,Japan,Inrō
"“The Courtesan Hanazuma Reading a Letter,” from the series Beauties Compared to Flowers (Bijin hana awase)",17th - 19th Century,Japan,Prints
"Snow on the Sumida River (Sumida), from the series, Snow, Moon, and Flowers (Setsugekka)",17th - 19th Century,Japan,Prints
Case (Inrō) with Design of River in Spring with Flowering Cherry Trees (obverse); River in Autumn with Maple Leaves (reverse),17th - 20th Century,Japan,Inrō
"Venus stepping out of the sea, holding a billowing drapery in her left hand, Cupid at right offering pearls while riding a dolphin and a putto at left offering flowers, another in the clouds",Date Unknown,Null,Prints
Ring of Flowers,20th - 21st Century,Japan,Ceramics
Banknote motif: hexagonal ornament with rippled edges with a pointed star at its center and flowers and leaves below,Date Unknown,Null,Prints
"Banknote motif: the number 100 against an ornamental lathe work oval resembling woven rope with a border of grain, flowers and berries",Date Unknown,Null,Prints
"Saint Barbara holding palm leaves with a sword and flowers at her feet, two putti overhead holding a laurel",Date Unknown,Null,Prints
Seitei’s Birds and Flowers Painting Manual,19th - 20th Century,Japan,Illustrated Books
Design for one section of a ceiling painted in trompe l'oeil iron work with flowering vines and birds,Date Unknown,Null,Drawings
"Venus stepping out of the sea, holding a billowing drapery in her left hand, Cupid at right offering pearls while riding a dolphin and a putto at left offering flowers, another in the clouds",Date Unknown,Null,Prints
Box decorated with flowers and clouds,14th - 20th Century,Korea,Lacquer
Case (Inrō) with Design of Grasshopper on Stalk of Flowering Lily,17th - 19th Century,Japan,Inrō
Five pink flowers with foliated tendrils,Date Unknown,Null,Textiles
"Broadsheet with a ballad addressing poverty, woman sitting in a field of flowers with a duck that has a human's head",Date Unknown,Null,Prints
Broadsheet relating to Saint  Anthony of Padua who is shown holding the Christ child flanked by a candelabra with flowers,Date Unknown,Null,Prints
Saint John the Baptist with flowers,Date Unknown,Null,Prints
Conical bowl with flowers and birds (one from a set),12th - 14th Century,China,Metalwork
Inrō with the Noh Play Dōjōji (obverse) and Flowering Cherry Tree (reverse),17th - 20th Century,Japan,Inrō
Lobed dish with flowers and birds (one from a set),12th - 14th Century,China,Metalwork
Lobed bowl stand with flowers and birds (one from a set),12th - 14th Century,China,Metalwork
"Plate 15: four street vendors from Madrid selling flowers, socks, and skins, from 'Los Gritos de Madrid' (The Cries of Madrid)",Date Unknown,Null,Prints
"Flowers: (a) Peach-blossom and Spiritual Stone; (b) Camellia, Narcissus and Buddha's Hand",17th - 20th Century,China,Paintings
Lovers Beside Flowering Autumn Grasses,17th - 19th Century,Japan,Prints
Girl Arranging Flowers,17th - 20th Century,China,Paintings
"Profile of a woman sitting in a chair with her head back and holding a flower, illustration for 'Morir Soñando,' published by Antonio Vanegas Arroyo",Date Unknown,Null,Prints
Nude Woman Crowned with Flowers,Date Unknown,Null,Prints
"Primavera, a group of women collecting flowers and making crowns from them",Date Unknown,Null,Prints
"Two girls with flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Date Unknown,Null,Prints
Bell Flower (Pyramidal) from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
"Blackwork Designs with Flowers and Commedia dell'Arte Figures, Plate 4 from a Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Date Unknown,Null,Albums
"Blackwork Designs with Flowers, Plate 6 from a Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Date Unknown,Null,Albums
"A Sheet of Studies of Flowers: A Rose, a Heartsease, a Sweet Pea, a Garden Pea, and a Lax-flowered Orchid",Date Unknown,Null,Drawings
Textile Design with Rosettes with Pearls as Pistils Grouped Together to Form Stylized Flowers over an Abstract Honeycomb Pattern in the Background,Date Unknown,Null,Drawings
Textile Design with Vertical Garlands of Stylized Flowers and Leaves and Pearls with Offsetting Branches Separated by Vertical Rows of Alternating Shuttle-Shaped Motifs with a Small Rosette Flanked by Two Leaves with Offsetting Branches,Date Unknown,Null,Drawings
"Girl in a blue dress clutching a basket of flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Date Unknown,Null,Prints
"Girl carrying large bouquet of flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Date Unknown,Null,Prints
"Girl in a brown dress with a basket of flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Date Unknown,Null,Prints
Textile Design with Rosettes with Pearls as Pistils Grouped Together to Form Stylized Flowers over an Abstract Honeycomb Pattern in the Background,Date Unknown,Null,Drawings
"Oval Case Decorated  with Schweifwerk in Two Variants, Surrounded by Smaller Motifs, Flowers and Two Birds Below",Date Unknown,Null,Prints
Folding chair with two birds among flowers,13th - 17th Century,China,Furniture
"Band Fragment with Masks, Lotus Flowers, and Birds",Date Unknown,Egypt,Textiles
"Band Fragment with Masks, Lotus Flowers, and Birds",Date Unknown,Egypt,Textiles
Vase of Flowers Resting on Foliate Scrolls,Date Unknown,Null,Paintings
Shikishi (square calligraphy paper) Box with Design of Flowers and Praying Mantis,19th - 20th Century,Japan,Lacquer
The Oxford drawing book . . . illustrated by upwards of one hundred lithographic drawings . . . to which is added Lessons in flower drawing . . . by James Andrews.,Date Unknown,Null,Books
Bruce Flowers from Boxers Exhibits series (W467),Date Unknown,Null,Prints
Tiger Flowers from Boxers Exhibits series (W467),Date Unknown,Null,Prints
"John Yellow Flower, Ute, from the American Indian Chiefs series (N2) for Allen & Ginter Cigarettes Brands",Date Unknown,Null,Prints
"Billingsgate–Early Morning (recto); The Rag Merchant's Home–Coulston Street, Whitechapel (verso); The Old-Clothes Man (verso); A Flower Girl (verso), from ""London: A Pilgrimage by Gustave Doré and Blanchard Jerrold"", from ""Harper's Weekly""",Date Unknown,Null,Prints
"Putney Bridge–The Return (recto); Untitled (verso); Flower Girls (verso); Barnes Bridge (verso); The Oysterman (verso); Barnes Common–Calling the Carriages (verso), from ""London: A Pilgrimage by Gustave Doré and Blanchard Jerrold"", from ""Harper's Weekly""",Date Unknown,Null,Prints
Couplet on Water and Flowers,Date Unknown,Null,Calligraphy
"Illustrated Catalogue and Wholesale Price List of Fancy Earthen Ware: Hand and Machine-Made Flower Pots and Saucers, Plain and Fancy Hanging Pots, Ferneries, Garden Vases, Etc.",Date Unknown,Null,Books
"Actress with hat and flower brooch, from the Actresses series (N205) issued by Wm. S. Kimball & Co. to promote Old Gold Flake Cut",Date Unknown,Null,Photographs
Actress seated and holding a flower from Actresses (N335a) issued by S. F. Hess & Company to promote Long Cut Tobacco brands,Date Unknown,Null,Photographs
"Design for a Valance in the Style of Louis XVI with Bushes and Garlands of Flowers and Containing Two Decorative Bunches of Leaves, Fruits and Flowers Holding Gardening Utensils and a Straw Hat",Date Unknown,Null,Drawings
"Actress wearing a dress with a white collar with flower details, from the Actresses series (N280) issued by D. Buchner & Co.",Date Unknown,Null,Prints
Design for a Valance with Bundles and Garlands of Flowers and Leaves,Date Unknown,Null,Drawings
Design for a Valance in with Thin Bushes and Garlands of Flowers and a Shell Motif with a Hanging Curtain,Date Unknown,Null,Drawings
Design for a Sofa Seat Cover (?) with an Ornamental Frame Containing a Vase with a Large Bundle of Flowers and Leaves and Decorated with Acanthus Leaves and Two Fleurs de Lys,Date Unknown,Null,Drawings
Leopard and Flowers,Date Unknown,Null,Prints
Album of American Wildflower Drawings,Date Unknown,Null,Albums
"Chest decorated with phoenixes, colored roundels (taegeuk), and flowers",14th - 20th Century,Korea,Furniture
[Young Woman Holding a Flower],Date Unknown,Null,Photographs
"Poem from the Collection of Elegant Flowers (Reikashū), one of the Scented-Paper Fragments (Kōshi-gire)",8th - 12th Century,Japan,Calligraphy
Jar decorated with flowers and insects,14th - 20th Century,Korea,Ceramics
Snow Flowers,Date Unknown,Null,Drawings
Birds and Flowers,14th - 16th Century,Japan,Paintings
"Design for a Sofa Back Cover (?) with an Ornamental Frame Containing a Large Horizontal Garland of Flowers and Leaves with Musical Instruments and a Vase, Decorated with Acanthus Leaves and Two Fleurs de Lys",Date Unknown,Null,Drawings
Hawaiian Flowers,Date Unknown,Null,Photographs
Hawaiian Flowers: Proteas,Date Unknown,Null,Photographs
[Flower Arrangement],Date Unknown,Null,Photographs
Summer Flowers,Date Unknown,Null,Prints
[Flowering Trees],Date Unknown,Null,Photographs
[Folk Painting: Vase of Flowers],Date Unknown,Null,Photographs
[Folk Painting: Vase of Flowers],Date Unknown,Null,Photographs
[Flower Shop],Date Unknown,Null,Photographs
"[Flower Shop Sign: ""ROSES $3.00""]",Date Unknown,Null,Photographs
"Case (Inrō) with Design of ""Nonomiya"" (Shrine in the Fields), from The Tale of Genji, chapter 10 (obverse);  Seven Autumn Flowers Growing beside a Torii and Fence, based on ""Sakaki,"" a Chapter from The Tale of Genji (reverse)",17th - 19th Century,Japan,Inrō
"Cherry Blossoms at Yoshino (Yoshino), from the series Snow, Moon, and Flowers (Setsugekka)",17th - 19th Century,Japan,Prints
"Six putti playing with the arms of Mars, four holding onto a large lance, one on the left wearing a helmet and a sword belt, holding a shield upright, and one placing a garland of flowers and leaves in a basket at right",Date Unknown,Null,Prints
"The Flight into Egypt; the Holy Family walking together, Saint Joseph pointing to the left and the Virgin carrying the infant Christ, an angel in front of her offering a flower, after Reni",Date Unknown,Null,Prints
"The Flight into Egypt; the Holy Family walking together, Saint Joseph pointing to the right and the Virgin carrying the infant Christ, an angel in front of her offering a flower, after Reni",Date Unknown,Null,Prints
"Design for a Two-Armed Candelabra with Rocaille Ornaments and Flowers, Plate 3 from an Untitled Series of Designs for Suspended Candelabra",Date Unknown,Null,Albums
Bowl of Flowers,Date Unknown,Null,Prints
"L'Oiseau Posé sur un Chardon en Fleurs (The Bird Standing on Thistle Flower), from Lux Claustri ou La Lumière du Cloitre (The Light of the Cloisters), plate 13",Date Unknown,Null,Prints
Flowers,Date Unknown,Null,Paintings
Flowers,Date Unknown,Null,Paintings
Flowers,Date Unknown,Null,Paintings
Flowers,Date Unknown,Null,Paintings
"""The ‘Crouching Dragon’ Plum Tree at Kameido” from the series An Array of Flowers, Beauties, and Famous Places (hana bijin meisho awase)",19th - 20th Century,Japan,Prints
[Flowers],Date Unknown,Null,Photographs
Parrot on a flowering branch,Date Unknown,Null,Prints
"Animals, Flowers and Birds",17th - 20th Century,China,Paintings
"Banknote motif: ornamental number 1 against a panel of lathe work elements, adjoining a band of mosaic style ornament, its ends adorned with leaves, flowers, grapes and ribbons",Date Unknown,Null,Prints
"Banknote motif: number 500 at the center of a circular design of lathe work with wavy edges, surrounded by an open wreath of leaves, berries and flowers",Date Unknown,Null,Prints
"Banknote motif: ten different ornamental lathe work elements including a disk embellished with berries and flowers, a wreathed sword, a set of scales, a berried vine, an anchor and chain, a bracket of vine leaves and four designs for borders",Date Unknown,Null,Prints
"The electoral machine gun. What a strewing of flowers., from 'News of the day,' published in Le Charivari, May 11, 1869",Date Unknown,Null,Prints
"Little girl holding a garland of flowers, from Deuxième Livre de Figures d'après les porcelaines de la Manufacture Royale de France (Second Book of Figures after porcelains from the Manufacture Royale de France)",Date Unknown,Null,Prints
[Flowering Trees],Date Unknown,Null,Photographs
"[Flower Cart Display, Martha's Vineyard, Massachusetts]",Date Unknown,Null,Photographs
"I thought it would be more fun than this to water flowers during a heatwave!, from Romance of Country Life, published in Le Charivari",Date Unknown,Null,Prints
Sleeveless Jacket with Flowering Vine Pattern and Bands,Date Unknown,Null,Clothing
Noh Robe (Happi) with Pattern of Flowers and Auspicious Symbols,Date Unknown,Null,Clothing
Zhou Dunyi admiring lotus flowers,17th - 20th Century,China,Paintings
"The Coming Thunderstorm, from the illustrated book Flowers of the Four Seasons",17th - 19th Century,Japan,Prints
"Invoice from Constantin Magasin de Fleurs fines, Paris, for plants and flowers",Date Unknown,Null,Prints
Vase with flowering branch motif (one of a pair),Date Unknown,Null,Ceramics
Vase with flowering branch motif (one of a pair),Date Unknown,Null,Ceramics
"Plate 8: Proserpina, standing in a niche, turning to the right while holding mantle in both hands and flowers in her right hand, from ""Mythological Gods and Goddesses""",Date Unknown,Null,Prints
Chinese Bulbuls on Flowering Cherry-Apple,10th - 13th Century,China,Paintings
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
"Woman Holding Flowers, in The New York Drawing Book, Containing a Series of Original Designs and Sketches of American Scenery, No. 2",Date Unknown,Null,Books
Table with Flowering Sprays,14th - 17th Century,China,Furniture
Tile with a King Holding Flowers,Date Unknown,England,Ceramics
Duster with the flowers of four seasons,14th - 17th Century,China,Lacquer
Tea-bowl stand with phoenixes amid flowers,15th Century,China,Lacquer
Grotesques Designs with Various Inscriptions (recto); Candelabra Grotesque and Two Putti Holding Flowers (verso),Date Unknown,Null,Drawings
"Candlestick with Repeating Seated Figure, Inscription, and Flowers",Date Unknown,Iran,Metal
Design for Wallpaper or Panel (?) with an Orientalist Motif with Three Phoenix-Like Exotic Birds with Colorful Feathers and a Flowering Tree within an Ornamental Frame with Tassels Resembling a Tapestry,Date Unknown,Null,Drawings
Cosmetic Box (Tebako) with Chrysanthemum Flowers,14th - 16th Century,Japan,Lacquer
Design for a Valance in the Style of Louis XVI with Bundles and Garlands of Flowers and an Ornamental Frame with a Tiger Face,Date Unknown,Null,Drawings
"Tile with Saz Leave, Tulips, and Hyacinth Flowers",Date Unknown,Turkey,Ceramics
Textile Design with Flower-Vine Border,Date Unknown,Null,Drawings
Fujiwara no Teika’s “Poems on Flowers and Birds of the Twelve Months”,17th - 19th Century,Japan,Paintings
Design for a Valance with Bundles and Garlands of Flowers and Leaves Decorated with Gardening Tools upon which Small Birds Rest,Date Unknown,Null,Drawings
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 6",Date Unknown,Null,Books
Flowering Calamus and Frogs,Date Unknown,Null,Paintings
Series of Small Flowers Motifs,Date Unknown,Null,Prints
Design for a Chair Seat Cover with an Ornamental Frame with Two Restling Putti with Hanging Garlands of Leaves and Flowers Inside a Larger Ornamental Frame Featuring a Heart-Shape Motif,Date Unknown,Null,Drawings
Design for a Chair Back Cover with an Ornamental Frame Formed by a Garland of Leaves and Flowers with an Interlacing Ribbon that Forms a Bow from which a Crown Motif with Monogram Hangs,Date Unknown,Null,Drawings
Design for a Valance with Thin Garlands and Bundles of Flowers and a Lyre Inside an Ornamental Frame with Scrolling Motifs Presenting Two Different Variations for the Design,Date Unknown,Null,Drawings
Haguro Mirror (Haguro kyō) with Birds and Flowers by a Stream,8th - 12th Century,Japan,Mirrors
"Lefty Flynn, Lee Shumway and Bess Flowers in ""Glenister of the Mounted"" from Western Stars or Scenes Exhibit Cards series (W412)",Date Unknown,Null,Prints
Flowers,Date Unknown,Null,Prints
"John Yellow Flower, Ute, from the American Indian Chiefs series (N36) for Allen & Ginter Cigarettes",Date Unknown,Null,Prints
"""Flowers"" L. Kemp Company",Date Unknown,Null,Photographs
"Flowers, Greenville, from the Contentnea series (T209, Set 2) for the American Tobacco Company to promote Contentnea Cigarettes",Date Unknown,Null,Prints
Flowers,Date Unknown,Null,Prints
Wild Flowers Cuba 1959,Date Unknown,Null,Drawings
Flowers,Date Unknown,Null,Prints
Fruit and Flowers,Date Unknown,Null,Prints
"With the Beasts (1r); The Flower Hawker (1r); Zoological Gardens–The Parrot Walk (1r); Westminster Abbey–The Choir (1v); The Ladies' Mile (2r); Zoological Gardens–Sunday Promenade (2v); Hyde Park Corner–The Row (2v), from ""London: A Pilgrimage by Gustave Doré and Blanchard Jerrold"", from ""Harper's Weekly""",Date Unknown,Null,Prints
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (6)",Date Unknown,Null,Prints
"Design for a Rug with Ornamental Frames and Garlands and Festoons of Leaves, Flowers, and Ribbons Over a Background of Arabesques",Date Unknown,Null,Drawings
Robe (kosode) with landscape and seasonal flowers,19th - 20th Century,Japan,Clothing
Wine Bottle with Flowers and Grasses,17th - 19th Century,Japan,Ceramics
Carved Lacquer Box “Green Flower”,20th - 21st Century,Japan,Lacquer
"Jimbaori with shokko diaper pattern of dragons, phoenix birds, and stylized ""Chinese flowers""",17th - 19th Century,Japan,Clothing
Dish with flowers and auspicious motifs,17th - 19th Century,Japan,Ceramics
Design for a Valance with Bundles and Garlands of Flowers and Musical Instruments,Date Unknown,Null,Drawings
Design for a Chair Back Cover with an Ornamental Frame Formed by a Garland of Leaves and Flowers with an Interlacing Ribbon that Forms a Bow from which a Crown Motif with a Monogram Hangs,Date Unknown,Null,Drawings
Double Bellflower Fruit or Offering Tray (Yaekikyō morikago),20th - 21st Century,Japan,Basketry
A Flowery Mirror of Beautiful Women (Bijin ryōka shū) 美人菱花集,17th - 19th Century,Japan,Illustrated Books
From Flowers album cards (W213),Date Unknown,Null,Prints
From Flowers album cards (W213),Date Unknown,Null,Prints
Asplenium viride from Flowers album cards (W213),Date Unknown,Null,Prints
From Flowers album cards (W213),Date Unknown,Null,Prints
From Flowers album cards (W213),Date Unknown,Null,Prints
(Waterlilies) from Flowers album cards (W213),Date Unknown,Null,Prints
From Flowers album cards (W213),Date Unknown,Null,Prints
"""Imperial Visit to the Great Horse Race at the Kaya-no-in Mansion""  from the Tale of Flowering Fortunes",12th - 14th Century,Japan,Paintings
Album of American Wildflower Watercolors,Date Unknown,Null,Albums
Botanical dish with white sunflower,Date Unknown,Null,Ceramics
[Flower Pots in Window],Date Unknown,Null,Photographs
Studies of Flowers,Date Unknown,Null,Books
"Design with sun, flowers, trees, rams, and flying eagles",Date Unknown,Null,Prints
The Hat Pinned with Flowers,Date Unknown,Null,Prints
The Hat Pinned with Flowers,Date Unknown,Null,Prints
"Still Life, Flowers, and Blue Cover",Date Unknown,Null,Prints
A Heroine Plucking a Flower:  Page from a Dispersed Nayikabheda,Date Unknown,Null,Paintings
"[Five 35mm Film Frames: Subway Passengers, New York City:  Man in Hat and Scarf, Elderly Woman, Woman in Flower-Brim Hat with Dog]",Date Unknown,Null,Negatives
"[Two 35mm Film Frames: Subway Passengers, New York City: Woman, Man Reading, Older Woman in Flowered Hat]",Date Unknown,Null,Negatives
Chair Strip with Flowers and Decorative Rocks,17th - 20th Century,China,Textiles
Flowers on Fence,Date Unknown,Null,Photographs
Flowers and Birds,17th - 20th Century,China,Paintings
Flowers and Fishes,Date Unknown,Null,Paintings
Bananas and Flowers,Date Unknown,Null,Paintings
"A picture album:  flowers, herbs and fish",Date Unknown,Null,Books
Flowers,Date Unknown,Null,Prints
Basket with Flowers,Date Unknown,Null,Prints
[Nude Boy in Doorframe with Flowers],Date Unknown,Null,Photographs
Flowers,Date Unknown,Null,Prints
Flowers and Bird,Date Unknown,Null,Paintings
"Sketches of Birds, Flowers, and Plants",Date Unknown,Null,Paintings
Three Sketches of Flowers and Butterflies,Date Unknown,Null,Paintings
Flowers and Birds,Date Unknown,Null,Paintings
Flowers and Butterfly,Date Unknown,Null,Paintings
Flowers and Butterflies with Inscription,Date Unknown,Null,Paintings
Flowers and Wasps,Date Unknown,Null,Paintings
Flowers with Notes,Date Unknown,Null,Paintings
Flowering Peonies,Date Unknown,Null,Paintings
Flowering Branch,Date Unknown,Null,Paintings
Flowering Peonies,Date Unknown,Null,Paintings
"Rocks, Grass, and Flowers",Date Unknown,Null,Paintings
Flowering Plant,Date Unknown,Null,Paintings
Flowering Plants,Date Unknown,Null,Paintings
Flowers and Rock,Date Unknown,Null,Paintings
Three Sketches of Flowering Plants,Date Unknown,Null,Paintings
Sketches of Flowering Plants,Date Unknown,Null,Paintings
Three Sketches of Leaves and Flowers,Date Unknown,Null,Paintings
[Pair of Flowering Plants],Date Unknown,Null,Photographs
Planting Flowers,Date Unknown,Null,Prints
"[Studio Portrait: Male Street Vendor Holding Box of Flowers, Brazil]",Date Unknown,Null,Photographs
[Flowering Tree in Back Yard],Date Unknown,Null,Photographs
Basket with Flowers,Date Unknown,Null,Prints
[Young Woman in Flowered Dress],Date Unknown,Null,Photographs
Florecitas (Vase of Flowers),Date Unknown,Null,Prints
Birds and Flowers,17th - 20th Century,China,Paintings
White Herons and Flowering Shrubs,14th - 19th Century,China,Paintings
Plate 6: Ornamental Design with Flowers,Date Unknown,Null,Prints
"[Four 35mm Film Frames: Subway Passengers, New York City:  Woman with Flower-Brim Hat and Dog, Two Men in Conversation, Man in Cap]",Date Unknown,Null,Negatives
The Little Flowers of St. Francis,Date Unknown,Null,Books
Examples of Sketches of Flowers,17th - 19th Century,Japan,Illustrated Books
Noh Robe (Atsuita) with Cloud-Shaped Gongs and “Chinese Flowers”,17th - 19th Century,Japan,Textiles
"Textile with Animals, Birds, and Flowers",Date Unknown,Null,Textiles
Foliated dish with four birds and flowers,14th - 17th Century,China,Lacquer
"Buddhist Vestment (Kesa) with Clematis Flowers, Leaves, and Vines",17th - 19th Century,Japan,Textiles
Coronet of Flowers,Date Unknown,Null,Prints
Wall plaque with flowering mimosa,Date Unknown,Null,Pottery
Bouquet of flowers (card design),Date Unknown,Null,Drawings
Small group of flowers (card design),Date Unknown,Null,Drawings
Urn with flowers (card design),Date Unknown,Null,Drawings
Flowers (card design),Date Unknown,Null,Drawings
Flowers (card design),Date Unknown,Null,Drawings
Buddha's Flowers,Date Unknown,Null,Prints
"Plate 3 depicting the trades of Rome, here including vendors of flowers, chairs, basil etc, from the 'Descrición de las artes que se llaman para los calles de la ciudad de Roma'",Date Unknown,Null,Prints
"Miss Lizzie Weston as Oberon: ""And Maidens call it, love in idleness. Fetch me that flower"" (Midsummer Night's Dream, Act 2, Scene 2)",Date Unknown,Null,Prints
Dragonflies and Wild Flowers,Date Unknown,Null,Prints
Cobweb Valentine with urn of flowers,Date Unknown,Null,Ephemera
Flowering Branches,18th Century,China,Paintings
Plate from a series of fantastical flowers,Date Unknown,Null,Prints
Plate from a series of fantastical flowers,Date Unknown,Null,Prints
Plate from a series of fantastical flowers,Date Unknown,Null,Prints
Noh Robe (Karaori) with Autumn Flowers and Grasses,17th - 19th Century,Japan,Clothing
"Greeting card, Language of Flowers: A hand-painted, lithographed bouquet of flowers, with a message.",Date Unknown,Null,Ephemera
Lady with flowers,Date Unknown,Null,Prints
Design for Textile with a Bundle of Stylized Flowers and Leaves and Interlacing Ribbons,Date Unknown,Null,Drawings
"Card No. 7, John Yellow Flower, from the Indian Chiefs series (T129) issued by Red Man Chewing Tobacco",Date Unknown,Null,Prints
Design for a Chair Back Cover with a Squatting Half-Human Grotesque Figure Inside an Ornamental Frame Made of Two Cornucopias Holding Bundles of Leaves and Fruits and Scrolls of Leaves and Flowers,Date Unknown,Null,Drawings
Design for a Panel or Wallpaper (?) with an Ornamental Frame with Scrolls and a Shell Decorated with Garlands and Bundles of Flowers and Fruits and a Monogrammed Oval Frame,Date Unknown,Null,Drawings
Design for a Chair Back Cover with an Oval-Shaped Ornamental Frame with a Kneeling Woman and a Playful Putto Surrounded by Garlands of Leaves and Flowers and Scrolling Acanthus Leaves Inside a Larger Ornamental Frame,Date Unknown,Null,Drawings
"Plate 78: Single flowered thorn, from ""A New Book of Chinese Designs""",Date Unknown,England,Books
Textile Design with Paisley Motifs and Garlands of Berry Sprays and Stylized Flowers,Date Unknown,Null,Drawings
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (7)",Date Unknown,Null,Prints
From Flowers album cards (W213),Date Unknown,Null,Prints
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (4)",Date Unknown,Null,Prints
"Basket of Flowers, Titlepage to the 'Book of Several Baskets of Flowers' (Livre de Plusieurs Corbeilles de Fleurs (...))",Date Unknown,Null,Prints
Pheasants among Trees: Flowers of the Four Seasons,14th - 16th Century,Japan,Paintings
"[Flower Arrangement with Tulips, Alongside Ceramic Bird]",Date Unknown,Null,Photographs
"The Flowers that Bloom in the Spring, from the Illustrated Songs series (N116) issued by W. Duke, Sons & Co. to promote Honest Long Cut Tobacco",Date Unknown,Null,Prints
