Title,Period,Country,Classification
Moon Flask–Shaped Flower Basket (Henko-gata hanakago),20th Century,Japan,Basketry
Water Rail Flute Flower Holder (Hanaire),20th Century,Japan,Basketry
Fragment of a Stem of a Flower,Date Unknown,Null,Sculpture
Tile end with lotus flower,14th - 17th Century,China,Ceramics
Flower vase with animal-head handles,13th - 14th Century,China,Metalwork
[South Seas: Man with Flower in Hair],Date Unknown,Null,Negatives
Flat stamp with geometric flower,Date Unknown,Mexico,Ceramics
Sheet with overall flower and dot pattern,Date Unknown,Null,Prints
Bowl with five petaled flower,7th - 10th Century,China,Ceramics
Sake bottle with flower medallions,17th - 19th Century,Japan,Ceramics
Sleeping Away from Home Flower Basket (Hanakago),20th Century,Japan,Basketry
Wide-Mouthed Flower Basket (Hanakago) with Soaring Handle,20th Century,Japan,Basketry
Fence Flower Basket (Hanakago) with Handle,20th Century,Japan,Basketry
Flower Design: Daffodils and Calla Lilies,Date Unknown,Null,Drawings
Chinese-Style Flower Basket (Karamono hanakago),19th - 20th Century,Japan,Basketry
"Songs of Experience: My Pretty Rose Tree, Ah! Sun-Flower, The Lilly",Date Unknown,Null,Prints
Moon flask with pink flower motif,Date Unknown,Null,Ceramics
Dish with stylized flower scrolls,17th Century,China,Ceramics
Celestial Figure Emerging from a Flower,4th Century BCE - 11th Century CE,China,Sculpture
"A flower girl at a wedding, Conn.",Date Unknown,Null,Photographs
Actress holding flower bouquet (W423),Date Unknown,Null,Prints
Echo of Rain Flower Basket (Hanakago),20th - 21st Century,Japan,Basketry
Flower vase with dragon handles,13th - 14th Century,China,Metalwork
Portrait of a Lady Holding a Flower,Date Unknown,Null,Codices
Dish Depicting Two Birds among Flowering Plants,Date Unknown,Turkey,Ceramics
Wine Ewer with Chrysanthemums and Lotus Flowers,10th - 14th Century,Korea,Ceramics
Flower Basket (Hanakago) in the Shape of a Flower,19th - 20th Century,Japan,Basketry
Flower Pot with Stand (One of a Pair),18th Century,China,Cloisonné
Flower Pot with Stand (One of a Pair),18th Century,China,Cloisonné
Pair of flower vases (vases hollandois),Date Unknown,Null,Ceramics
Pair of flower pots (caisses carrés),Date Unknown,Null,Ceramics
Flower Pot (one of a pair),10th - 13th Century,China,Ceramics
Flower Vase with Stamped Design of Lotus,12th - 14th Century,Japan,Ceramics
Pendant in the form of a flower,Date Unknown,Null,Gold and Silver
Flower vase (cuvette à fleurs courteille),Date Unknown,Null,Ceramics
Hanging Flower Vase with Figural Design,17th - 19th Century,Japan,Ceramics
Sword guard (<i>Tsuba</i>) with Flower Basket Motif (花籠図鐔),Date Unknown,Japan,Sword Furniture-Tsuba
Sword guard (<i>Tsuba</i>) with Flower Basket Motif (花籠図鐔),Date Unknown,Japan,Sword Furniture-Tsuba
Carpet with Niche and Flower Design,Date Unknown,Null,Textiles
Pen Box (Qalamdan) with Bird and Flower Design,Date Unknown,Iran,Lacquer
The Actor Ogino Isaburō as an Itinerant Flower Vendor,17th - 19th Century,Japan,Prints
"[Interior with Fireplace Mantle, Flower Print Wallpaper, and Armchair]",Date Unknown,Null,Negatives
A Flower (in Sketch Book With Drawings on Twenty-six Leaves),Date Unknown,Null,Drawings
Black and White Print of Butterfly and Flower (a Pink),17th - 19th Century,Japan,Prints
Flower Arrangement of Suisen (Narcissus) in a Flat Green Dish,17th - 19th Century,Japan,Prints
Straw Basket for Fish (?) and Mokuge Flower,19th - 20th Century,Japan,Prints
Green and Yellow Stylized Flower for Wall Stencil,Date Unknown,Null,Drawings
Water jar in the shape of a flower,17th - 20th Century,China,Hardstone
Plate with Flower and Bird Decor,17th - 19th Century,Japan,Ceramics
A Tahitian Woman with a Flower in Her Hair,Date Unknown,France,Drawings
Examples of the Flower Arrangement (Meiji shinsen risshō senkashiki)  明治新撰千花式,19th - 20th Century,Japan,Illustrated Books
The Flower Girl (La Petite Marchande de Fleurs),Date Unknown,Null,Drawings
"A Radish Plant, Seed, and Flower",Date Unknown,India,Codices
Basket in the Form of a Flower Cart (Hanaguruma-gata hanakago),20th Century,Japan,Basketry
Vessel Lid: Bird Seated in Flower,Date Unknown,Democratic Republic of the Congo,Sculpture
Design for Panel Decoration Centered on a Passion Flower,Date Unknown,Null,Drawings
Design for a Porcelain Flower Bowl with Bronze Mount,Date Unknown,Null,Drawings
"[15 Stereographic Views of Terrace Flower Vases, Central Park, New York]",Date Unknown,Null,Photographs
"A Book on Flower Arrangement: Hare's-Foot Fern, Vols. 2 and 3",17th - 19th Century,Japan,Illustrated Books
Taxco Flower Girl - Birthday Party for H.C.,Date Unknown,Null,Drawings
"Vase with Daoist immortals, flower sprays, and dragons",17th Century,China,Ceramics
Taxco Flower Boy - Birthday Present for H.C.,Date Unknown,Null,Drawings
"A Woman Tying up a Curtain, a Flower Arrangement of Chrysanthemums in a Boat-shaped Hanging Vase, and Narcissus Arranged in a Flower Vase",17th - 19th Century,Japan,Prints
Necklace flowers,Date Unknown,Null,Gold and Silver
Necklace flowers,Date Unknown,Null,Gold and Silver
Flower Basket in the Shape of a Lily Bud (Yuri-gata hanakago),20th Century,Japan,Basketry
"Lotus, Rock, and Flower Study, after Chen Hongshou",Date Unknown,Null,Paintings
Pot with Flowering Plant,19th Century,China,Jade
Pot with Flowering Plant,19th Century,China,Jade
Stamp seal: standing noble holding a flower,3rd - 7th Century,Iran,Not Assigned
Velvet Fragment with Bird and Flower Design,Date Unknown,Iran,Textiles
Limestone bouquet of flowers,5th - 4th Century BCE,Greece,Sculpture
"[Bedroom with Hanging Light Fixture, Flower Print Wallpaper, and Decaying Ceiling]",Date Unknown,Null,Negatives
"[Interior with Radio, Flower Print Wallpaper, and Picture of Franklin Roosevelt]",Date Unknown,Null,Negatives
[South Seas: Woman with Flower Garland in Hair],Date Unknown,Null,Negatives
"[Concrete Building with Shell and Flower Pot Decoration, Florida]",Date Unknown,Null,Negatives
"[Workers Loading Flower Carts, From Above, New York City]",Date Unknown,Null,Negatives
Book cover with red geometric and flower pattern,Date Unknown,Null,Prints
Young Man (Wakashu) with a Miniature Flower Cart,17th - 19th Century,Japan,Prints
Rank Badge with Bird and Flower Motifs,Date Unknown,Null,Textiles
Shard:  Lotus Flower (Partial with Costume Fragment?),Date Unknown,Null,Ceramics
Ornament in the Shape of a Lotus Flower,Date Unknown,Null,Metalwork
Flower Vase with Stand; Dress Hanging on a Clothesrack,Date Unknown,Null,Prints
"Flower Vase in ""Crane's Neck"" shape",17th - 19th Century,Japan,Metalwork
Cup with a Flower and Bird Scene,17th - 20th Century,China,Horn
Dish in the shape of flower,7th - 10th Century,China,Ceramics
Pendant in the form of a flower bud,17th - 20th Century,China,Jade
Netsuke of Seated Man with a Flower Pot,17th - 20th Century,Japan,Netsuke
Sheet with six borders with vines and flower designs,Date Unknown,Null,Prints
Sheet with two borders with flower and leaf designs,Date Unknown,Null,Prints
Chinese-Style Flower Basket (Karamono hanakago) with Fish Ears,19th Century,Japan,Basketry
Jasper intaglio: Harcoprates seated on a lotus flower,Date Unknown,Null,Gems
"Young Girl with Long Braids and Pantalettes, Holding a Flower",Date Unknown,Null,Prints
Tray in the Shape of a Flower,18th Century,China,Enamels
Netsuke with Ivy and Flower Design,17th - 20th Century,Japan,Netsuke
